rank,points,ranking_movement,tournaments_played,id
285,194,-29,34,sr:competitor:103625
286,193,-4,27,sr:competitor:240264
287,193,-8,31,sr:competitor:414501
288,191,-5,20,sr:competitor:17018
289,190,23,23,sr:competitor:42152
290,190,-30,31,sr:competitor:48626
291,189,-6,25,sr:competitor:153826
292,188,-2,31,sr:competitor:78743
293,186,13,26,sr:competitor:226036
294,183,-1,25,sr:competitor:225052
295,183,0,31,sr:competitor:51100
296,183,-12,36,sr:competitor:69362
297,182,-1,28,sr:competitor:55067
298,181,-10,20,sr:competitor:373348
299,181,-2,29,sr:competitor:90110
300,179,-2,25,sr:competitor:32466
301,178,-2,24,sr:competitor:226132
302,178,-2,29,sr:competitor:223998
303,177,-2,19,sr:competitor:382058
304,175,0,38,sr:competitor:279295
305,174,0,29,sr:competitor:144102
306,172,1,18,sr:competitor:46390
307,172,14,22,sr:competitor:459201
308,172,0,24,sr:competitor:685469
309,171,6,30,sr:competitor:82133
310,170,0,27,sr:competitor:99587
311,168,0,30,sr:competitor:110837
312,167,2,23,sr:competitor:152898
313,167,-10,27,sr:competitor:113859
314,166,5,27,sr:competitor:111837
315,165,15,18,sr:competitor:58369
316,165,-22,26,sr:competitor:175070
317,164,-26,10,sr:competitor:33115
318,164,-2,14,sr:competitor:135778
319,164,-2,19,sr:competitor:188595
320,164,-2,21,sr:competitor:81041
321,163,11,20,sr:competitor:341220
322,163,1,26,sr:competitor:210592
323,162,-1,16,sr:competitor:14844
324,161,0,7,sr:competitor:14736
325,161,0,15,sr:competitor:26204
326,161,0,17,sr:competitor:224024
327,161,-18,29,sr:competitor:477182
328,159,-26,18,sr:competitor:177686
329,159,0,24,sr:competitor:106357
330,158,13,16,sr:competitor:81271
331,158,0,19,sr:competitor:107625
332,158,1,26,sr:competitor:94747
333,157,11,19,sr:competitor:17080
334,157,0,25,sr:competitor:58703
335,156,5,22,sr:competitor:505466
336,155,-1,29,sr:competitor:653487
337,152,19,20,sr:competitor:14488
338,152,1,15,sr:competitor:515510
339,152,27,20,sr:competitor:39712
340,152,72,27,sr:competitor:50847
341,152,16,27,sr:competitor:307112
342,152,-1,28,sr:competitor:240916
343,151,9,27,sr:competitor:216502
344,151,-8,32,sr:competitor:49660
345,150,1,34,sr:competitor:117866
346,149,-8,24,sr:competitor:96239
347,148,-2,22,sr:competitor:103313
348,148,-21,31,sr:competitor:252239
349,145,5,20,sr:competitor:16286
350,144,-1,15,sr:competitor:15858
351,144,-1,31,sr:competitor:180446
352,143,-32,19,sr:competitor:37785
353,143,86,4,sr:competitor:15733
354,143,-3,15,sr:competitor:211284
355,142,-2,19,sr:competitor:108559
356,141,-1,30,sr:competitor:17065
357,138,-20,21,sr:competitor:213170
358,138,-16,31,sr:competitor:96859
359,135,-1,9,sr:competitor:57703
360,134,-12,18,sr:competitor:16194
361,133,-2,19,sr:competitor:124732
362,132,5,22,sr:competitor:145108
363,132,-3,33,sr:competitor:152726
364,131,22,30,sr:competitor:57155
365,130,-3,21,sr:competitor:353550
366,130,-3,23,sr:competitor:205773
367,129,-6,20,sr:competitor:34265
368,128,-4,19,sr:competitor:405969
369,128,-4,24,sr:competitor:145122
370,127,5,20,sr:competitor:50901
371,127,32,28,sr:competitor:617262
372,126,-4,17,sr:competitor:38180
373,126,23,22,sr:competitor:774476
374,126,-4,22,sr:competitor:124708
375,125,-3,19,sr:competitor:16327
376,125,41,23,sr:competitor:18092
377,124,-4,20,sr:competitor:80491
378,124,-4,13,sr:competitor:539343
379,124,-8,26,sr:competitor:79227
380,123,-4,20,sr:competitor:682913
381,123,-4,20,sr:competitor:262679
382,122,-4,22,sr:competitor:603820
383,122,-3,26,sr:competitor:506300
384,121,-3,18,sr:competitor:283759
385,121,-3,27,sr:competitor:194668
386,120,-7,26,sr:competitor:295508
387,120,24,27,sr:competitor:210502
388,120,44,30,sr:competitor:242556
389,119,-5,14,sr:competitor:77007
390,118,-3,14,sr:competitor:603098
391,118,-2,21,sr:competitor:52462
392,118,-1,32,sr:competitor:681005
393,117,-1,20,sr:competitor:74439
394,117,-4,22,sr:competitor:226124
395,117,-2,26,sr:competitor:369630
396,116,-11,29,sr:competitor:44961
397,115,-2,8,sr:competitor:23670
398,115,-51,27,sr:competitor:162144
399,115,-2,28,sr:competitor:154570
400,114,-1,21,sr:competitor:720613
401,114,-1,25,sr:competitor:205767
402,114,-19,29,sr:competitor:48225
403,114,-5,32,sr:competitor:284823
404,112,0,26,sr:competitor:130436
405,112,-3,26,sr:competitor:679701
406,112,7,30,sr:competitor:517028
407,110,-19,18,sr:competitor:53483
408,110,-2,19,sr:competitor:95259
409,110,-2,20,sr:competitor:508498
410,110,0,26,sr:competitor:45533
411,109,3,11,sr:competitor:16042
412,109,4,22,sr:competitor:574371
413,109,12,23,sr:competitor:74333
414,109,4,25,sr:competitor:83263
415,108,4,11,sr:competitor:41371
416,108,5,21,sr:competitor:540271
417,108,-16,33,sr:competitor:76251
418,107,4,10,sr:competitor:102411
419,107,1,18,sr:competitor:130438
420,107,-5,19,sr:competitor:41473
421,107,3,24,sr:competitor:106153
422,106,6,19,sr:competitor:137810
423,105,6,26,sr:competitor:138712
424,104,-1,22,sr:competitor:435758
425,104,10,23,sr:competitor:51345
426,104,-21,27,sr:competitor:251025
427,102,-19,22,sr:competitor:119150
428,102,19,27,sr:competitor:265559
429,101,29,10,sr:competitor:41857
430,101,-61,21,sr:competitor:251029
431,101,0,30,sr:competitor:460963
432,101,1,30,sr:competitor:780648
433,100,46,18,sr:competitor:313891
434,100,2,34,sr:competitor:350752
435,99,176,5,sr:competitor:78879
436,99,1,11,sr:competitor:342826
437,99,1,22,sr:competitor:130442
438,99,-4,25,sr:competitor:47767
439,98,1,14,sr:competitor:17988
440,98,1,18,sr:competitor:95829
441,98,1,20,sr:competitor:126400
442,97,18,19,sr:competitor:186629
443,97,1,28,sr:competitor:121178
444,96,1,15,sr:competitor:221538
445,96,1,18,sr:competitor:105021
446,95,104,19,sr:competitor:149100
447,95,1,20,sr:competitor:240320
448,95,1,27,sr:competitor:42029
449,95,1,35,sr:competitor:375546
450,94,1,11,sr:competitor:44553
451,94,18,20,sr:competitor:228372
452,94,0,26,sr:competitor:107351
453,94,8,31,sr:competitor:498580
454,94,-1,35,sr:competitor:156826
455,93,-1,18,sr:competitor:116616
457,93,-1,37,sr:competitor:679699
458,93,-1,38,sr:competitor:190062
459,93,5,44,sr:competitor:515478
460,92,-30,16,sr:competitor:65382
461,92,21,20,sr:competitor:52069
462,91,-68,12,sr:competitor:655845
463,91,-1,25,sr:competitor:673479
464,91,4,26,sr:competitor:119140
465,91,8,28,sr:competitor:17046
466,90,-1,7,sr:competitor:14465
467,90,4,15,sr:competitor:60592
468,90,-2,16,sr:competitor:135786
469,90,-2,19,sr:competitor:54529
470,90,-61,23,sr:competitor:434058
471,90,-1,27,sr:competitor:137892
472,89,-9,24,sr:competitor:134602
473,88,-1,21,sr:competitor:282183
474,87,1,17,sr:competitor:730033
475,87,-1,24,sr:competitor:169492
476,86,2,15,sr:competitor:242548
477,86,7,22,sr:competitor:246739
478,85,-1,6,sr:competitor:25455
479,85,-52,14,sr:competitor:222628
480,85,-4,24,sr:competitor:341218
481,85,-1,24,sr:competitor:499100
482,84,-1,17,sr:competitor:18215
483,83,0,16,sr:competitor:111195
484,83,10,22,sr:competitor:622876
485,83,13,28,sr:competitor:112987
486,83,89,29,sr:competitor:108563
487,83,-1,30,sr:competitor:211426
488,82,12,20,sr:competitor:447687
489,82,-46,25,sr:competitor:71950
490,81,-3,11,sr:competitor:369572
491,81,6,28,sr:competitor:85877
492,80,10,11,sr:competitor:284801
493,80,10,12,sr:competitor:221556
494,80,-2,24,sr:competitor:54477
495,80,98,27,sr:competitor:214826
496,79,-3,20,sr:competitor:739649
497,79,-2,21,sr:competitor:345058
498,79,29,27,sr:competitor:269535
499,79,-10,27,sr:competitor:65992
500,78,-1,13,sr:competitor:63642
501,77,69,15,sr:competitor:54903
