match_id,scheduled,player1_id,player2_id,winner_id,home_score,away_score
sr:match:41019895,2023-05-13T06:00:00+00:00,sr:competitor:124656,sr:competitor:226050,sr:competitor:124656,0.0,2.0
sr:match:41019893,2023-05-12T02:00:00+00:00,sr:competitor:226050,sr:competitor:49417,sr:competitor:226050,0.0,2.0
sr:match:41019911,2023-05-10T02:00:00+00:00,sr:competitor:226050,sr:competitor:39712,sr:competitor:226050,0.0,2.0
sr:match:41099061,2023-05-09T02:00:00+00:00,sr:competitor:26203,sr:competitor:226050,sr:competitor:226050,2.0,0.0
sr:match:40895525,2023-05-03T01:30:00+00:00,sr:competitor:206879,sr:competitor:226050,sr:competitor:206879,0.0,2.0
sr:match:40963305,2023-05-01T04:30:00+00:00,sr:competitor:226050,sr:competitor:53183,sr:competitor:226050,1.0,2.0
sr:match:40821077,2023-04-24T08:05:00+00:00,sr:competitor:226050,sr:competitor:17017,sr:competitor:17017,2.0,1.0
sr:match:40408711,2023-04-02T17:30:00+00:00,sr:competitor:300540,sr:competitor:226050,sr:competitor:300540,0.0,2.0
sr:match:41954549,2023-06-28T13:10:00+00:00,sr:competitor:80665,sr:competitor:501672,sr:competitor:80665,1.0,2.0
sr:match:41929335,2023-06-26T15:05:00+00:00,sr:competitor:169486,sr:competitor:501672,sr:competitor:501672,2.0,1.0
sr:match:41645561,2023-06-15T10:00:00+00:00,sr:competitor:445419,sr:competitor:501672,sr:competitor:445419,0.0,2.0
sr:match:41727215,2023-06-13T17:40:00+00:00,sr:competitor:501672,sr:competitor:71280,sr:competitor:501672,1.0,2.0
sr:match:41705105,2023-06-12T12:50:00+00:00,sr:competitor:501672,sr:competitor:503814,sr:competitor:501672,0.0,2.0
sr:match:41694517,2023-06-11T12:45:00+00:00,sr:competitor:501672,sr:competitor:565070,sr:competitor:501672,0.0,2.0
sr:match:41514071,2023-06-08T16:20:00+00:00,sr:competitor:87690,sr:competitor:501672,sr:competitor:87690,0.0,2.0
sr:match:41622637,2023-06-06T13:40:00+00:00,sr:competitor:124656,sr:competitor:501672,sr:competitor:501672,2.0,0.0
sr:match:41585051,2023-06-05T12:00:00+00:00,sr:competitor:501672,sr:competitor:111837,sr:competitor:111837,2.0,0.0
sr:match:41573823,2023-06-04T14:15:00+00:00,sr:competitor:501672,sr:competitor:603106,sr:competitor:501672,0.0,2.0
sr:match:41953741,2023-06-28T10:00:00+00:00,sr:competitor:202627,sr:competitor:131442,sr:competitor:131442,2.0,1.0
sr:match:41946145,2023-06-26T13:10:00+00:00,sr:competitor:287541,sr:competitor:202627,sr:competitor:202627,2.0,0.0
sr:match:41929249,2023-06-26T11:20:00+00:00,sr:competitor:211038,sr:competitor:202627,,,
sr:match:41847503,2023-06-20T10:50:00+00:00,sr:competitor:382058,sr:competitor:202627,sr:competitor:382058,0.0,2.0
sr:match:41694029,2023-06-13T08:00:00+00:00,sr:competitor:103625,sr:competitor:202627,sr:competitor:103625,0.0,2.0
sr:match:41692029,2023-06-11T09:00:00+00:00,sr:competitor:450291,sr:competitor:202627,sr:competitor:450291,0.0,2.0
sr:match:41682077,2023-06-10T08:30:00+00:00,sr:competitor:291272,sr:competitor:202627,sr:competitor:202627,2.0,0.0
sr:match:41668733,2023-06-09T12:00:00+00:00,sr:competitor:112969,sr:competitor:202627,sr:competitor:202627,2.0,0.0
sr:match:41655349,2023-06-08T08:00:00+00:00,sr:competitor:389114,sr:competitor:202627,sr:competitor:202627,2.0,1.0
sr:match:41624903,2023-06-07T08:00:00+00:00,sr:competitor:841030,sr:competitor:202627,sr:competitor:202627,2.0,0.0
sr:match:41954557,2023-06-28T12:55:00+00:00,sr:competitor:22956,sr:competitor:601146,sr:competitor:601146,2.0,1.0
sr:match:41929233,2023-06-26T16:00:00+00:00,sr:competitor:392066,sr:competitor:22956,sr:competitor:22956,2.0,0.0
sr:match:41705295,2023-06-13T14:50:00+00:00,sr:competitor:22956,sr:competitor:97231,sr:competitor:97231,2.0,0.0
sr:match:41693519,2023-06-11T15:40:00+00:00,sr:competitor:22956,sr:competitor:299130,sr:competitor:22956,0.0,2.0
sr:match:41683281,2023-06-10T12:00:00+00:00,sr:competitor:22956,sr:competitor:987723,sr:competitor:22956,0.0,2.0
sr:match:41413145,2023-05-24T14:05:00+00:00,sr:competitor:22956,sr:competitor:161262,sr:competitor:161262,2.0,1.0
sr:match:41366551,2023-05-23T15:25:00+00:00,sr:competitor:123694,sr:competitor:22956,sr:competitor:22956,2.0,1.0
sr:match:41137415,2023-05-09T03:20:00+00:00,sr:competitor:39712,sr:competitor:22956,sr:competitor:39712,0.0,2.0
sr:match:40963323,2023-05-02T05:10:00+00:00,sr:competitor:22956,sr:competitor:124658,sr:competitor:124658,2.0,0.0
sr:match:40762883,2023-04-27T06:25:00+00:00,sr:competitor:22956,sr:competitor:124656,sr:competitor:124656,2.0,1.0
